                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.63633,                 1.1176,                 1.2548,                0.69629,                0.61452,                0.67798,                0.57083,                0.62451,                 1.0903,                 1.1897,             0.00039008,             0.00039008,             0.00039008
                     36,                0.64317,                 1.1202,                 1.2615,                 0.6767,                0.61317,                0.66847,                0.56036,                0.64545,                  1.093,                 1.2002,             0.00038426,             0.00038426,             0.00038426
                     37,                0.64572,                 1.1221,                 1.2644,                0.65963,                0.61454,                0.65913,                0.55116,                0.64385,                 1.1092,                 1.2124,             0.00037844,             0.00037844,             0.00037844
                     38,                0.62275,                    1.1,                 1.2462,                 0.6995,                0.61352,                 0.6799,                0.57221,                0.61996,                 1.0699,                 1.1844,             0.00037262,             0.00037262,             0.00037262
                     39,                0.63189,                 1.1005,                 1.2548,                0.66486,                0.62587,                0.67235,                  0.565,                0.63642,                  1.092,                 1.2034,             0.00036679,             0.00036679,             0.00036679
                     40,                0.63116,                 1.1001,                 1.2542,                0.67728,                0.62318,                0.66832,                0.55914,                0.64908,                 1.0884,                 1.2187,             0.00036097,             0.00036097,             0.00036097
                     41,                0.62533,                 1.0757,                  1.245,                0.69296,                0.62988,                0.67637,                0.57003,                0.62667,                 1.0716,                 1.1864,             0.00035515,             0.00035515,             0.00035515
                     42,                0.62209,                 1.0806,                 1.2463,                0.70393,                0.62123,                0.68484,                0.57182,                0.62421,                 1.0696,                  1.205,             0.00034933,             0.00034933,             0.00034933
                     43,                0.62679,                 1.0701,                  1.248,                0.70343,                0.62036,                 0.6872,                0.57507,                  0.633,                 1.0731,                 1.1934,             0.00034351,             0.00034351,             0.00034351
                     44,                0.62615,                 1.0815,                  1.249,                0.69145,                0.61768,                0.67291,                 0.5609,                0.63652,                 1.0877,                 1.2035,             0.00033769,             0.00033769,             0.00033769
                     45,                0.61935,                 1.0807,                 1.2395,                0.69588,                0.63531,                  0.689,                0.57205,                0.66545,                 1.0831,                 1.2245,             0.00033187,             0.00033187,             0.00033187
                     46,                0.61589,                  1.067,                 1.2357,                0.68341,                0.63399,                0.67695,                 0.5729,                0.62375,                 1.0689,                 1.1998,             0.00032605,             0.00032605,             0.00032605
                     47,                 0.6114,                 1.0582,                 1.2313,                0.71275,                0.63841,                0.69826,                0.58558,                0.61859,                 1.0524,                 1.1902,             0.00032022,             0.00032022,             0.00032022
                     48,                0.61127,                  1.046,                 1.2333,                0.69535,                0.62239,                 0.6851,                0.58082,                0.60638,                 1.0654,                 1.1782,              0.0003144,              0.0003144,              0.0003144
                     49,                0.61604,                 1.0533,                 1.2392,                0.69733,                0.62678,                0.69148,                0.58805,                0.59075,                 1.0418,                 1.1614,             0.00030858,             0.00030858,             0.00030858
                     50,                0.60217,                 1.0379,                 1.2246,                 0.7106,                 0.6326,                0.69333,                0.58746,                0.61432,                 1.0366,                 1.1822,             0.00030276,             0.00030276,             0.00030276
                     51,                0.61397,                 1.0437,                   1.24,                0.71287,                0.63361,                0.69789,                0.58864,                0.60932,                 1.0304,                 1.1728,             0.00029694,             0.00029694,             0.00029694
                     52,                0.59804,                 1.0253,                  1.223,                0.71293,                0.64019,                0.70213,                0.59353,                0.60723,                 1.0475,                  1.172,             0.00029112,             0.00029112,             0.00029112
                     53,                0.59435,                 1.0148,                 1.2158,                0.71758,                0.64062,                0.70405,                0.59956,                0.59308,                 1.0098,                 1.1592,              0.0002853,              0.0002853,              0.0002853
                     54,                0.59873,                  1.029,                 1.2217,                 0.7199,                0.63441,                0.70142,                0.58951,                0.60431,                  1.033,                 1.1662,             0.00027948,             0.00027948,             0.00027948
                     55,                  0.609,                 1.0332,                 1.2353,                0.70157,                0.64513,                0.69829,                0.59665,                0.58657,                 1.0218,                 1.1487,             0.00027366,             0.00027366,             0.00027366
                     56,                0.59667,                 1.0191,                 1.2231,                0.69634,                0.62516,                 0.6877,                0.57645,                0.61271,                 1.0513,                  1.169,             0.00026783,             0.00026783,             0.00026783
                     57,                0.59483,                 1.0099,                 1.2179,                 0.7181,                0.64511,                0.70641,                0.60027,                 0.5912,                 1.0117,                 1.1613,             0.00026201,             0.00026201,             0.00026201
                     58,                0.59253,                 1.0001,                 1.2166,                0.71438,                0.64699,                0.70638,                0.59378,                 0.6109,                 1.0293,                 1.1764,             0.00025619,             0.00025619,             0.00025619
                     59,                0.58914,                      1,                 1.2129,                0.71811,                 0.6472,                0.70511,                0.59879,                0.58732,                  1.004,                 1.1537,             0.00025037,             0.00025037,             0.00025037
                     60,                0.58252,                0.99375,                 1.2044,                0.72135,                0.64258,                0.70624,                0.59707,                0.59229,                 1.0206,                  1.166,             0.00024455,             0.00024455,             0.00024455
                     61,                0.59477,                 1.0115,                 1.2197,                0.71827,                0.64155,                0.70687,                0.60108,                0.58358,                 1.0064,                 1.1568,             0.00023873,             0.00023873,             0.00023873
                     62,                0.59181,                0.99382,                 1.2147,                0.72389,                0.64512,                0.70677,                 0.6016,                 0.5903,                0.99784,                 1.1623,             0.00023291,             0.00023291,             0.00023291
                     63,                0.58422,                0.99196,                  1.208,                0.72721,                0.64265,                0.70755,                0.60296,                0.58671,                  0.994,                  1.155,             0.00022709,             0.00022709,             0.00022709
                     64,                0.57846,                0.98592,                 1.2039,                0.72703,                0.65167,                0.71282,                0.61019,                0.57272,                0.98228,                 1.1435,             0.00022126,             0.00022126,             0.00022126
                     65,                0.58388,                0.99964,                 1.2049,                0.74075,                0.63696,                0.71345,                0.61155,                0.57692,                0.98273,                 1.1413,             0.00021544,             0.00021544,             0.00021544
                     66,                0.58112,                0.97798,                 1.2053,                0.72559,                0.64929,                0.71126,                0.60453,                0.59595,                0.99572,                 1.1517,             0.00020962,             0.00020962,             0.00020962
                     67,                0.58188,                0.97865,                 1.2045,                0.72742,                0.64314,                0.70891,                0.60661,                 0.5749,                0.98107,                 1.1437,              0.0002038,              0.0002038,              0.0002038
                     68,                0.56824,                0.97049,                 1.1916,                0.71961,                 0.6379,                0.70845,                0.61011,                0.56783,                0.98249,                 1.1437,             0.00019798,             0.00019798,             0.00019798
                     69,                0.56954,                0.96623,                 1.1937,                0.71974,                 0.6481,                0.70911,                0.61091,                0.56935,                0.98093,                 1.1368,             0.00019216,             0.00019216,             0.00019216
                     70,                0.57052,                0.95611,                 1.1973,                0.72496,                0.64198,                0.70517,                0.60477,                0.57562,                0.99135,                 1.1416,             0.00018634,             0.00018634,             0.00018634
                     71,                0.57195,                0.96541,                 1.1958,                0.73468,                 0.6466,                0.71317,                0.60719,                0.58435,                 0.9829,                 1.1496,             0.00018052,             0.00018052,             0.00018052
                     72,                0.56899,                0.95994,                 1.1981,                0.74306,                0.64202,                0.71796,                0.61696,                0.56791,                0.97227,                 1.1343,             0.00017469,             0.00017469,             0.00017469
                     73,                0.56367,                0.95808,                 1.1891,                0.73005,                0.64354,                0.71194,                0.61334,                0.56013,                0.97367,                 1.1236,             0.00016887,             0.00016887,             0.00016887
                     74,                0.57713,                0.95719,                 1.2031,                0.73352,                0.63986,                0.71304,                 0.6121,                0.57061,                 0.9775,                 1.1383,             0.00016305,             0.00016305,             0.00016305
                     75,                0.56599,                0.95364,                 1.1897,                0.72937,                0.65026,                 0.7139,                0.61403,                0.56451,                0.96947,                 1.1359,             0.00015723,             0.00015723,             0.00015723
                     76,                 0.5642,                0.95156,                 1.1931,                0.72392,                0.66292,                0.71792,                0.61739,                0.56248,                0.95727,                 1.1287,             0.00015141,             0.00015141,             0.00015141
                     77,                0.57486,                0.96673,                 1.2032,                0.73276,                0.65619,                0.72041,                0.62176,                0.55535,                0.95784,                 1.1232,             0.00014559,             0.00014559,             0.00014559
                     78,                0.56393,                0.93822,                 1.1902,                0.72365,                0.66126,                0.71848,                0.61773,                0.56477,                0.97197,                 1.1348,             0.00013977,             0.00013977,             0.00013977
                     79,                0.55893,                0.94214,                 1.1866,                0.73349,                0.64885,                0.71671,                0.61797,                 0.5601,                0.96242,                 1.1267,             0.00013395,             0.00013395,             0.00013395
                     80,                0.55827,                0.93438,                 1.1816,                0.73252,                0.65454,                0.71788,                 0.6191,                0.55806,                0.96281,                 1.1244,             0.00012813,             0.00012813,             0.00012813
                     81,                0.55634,                0.93634,                 1.1837,                0.73407,                0.65481,                0.72078,                0.62087,                0.56191,                0.96024,                 1.1263,              0.0001223,              0.0001223,              0.0001223
